Medical_Term,Frequency
tibial,366
pneumonia,365
delivery,365
final,365
catheterization,365
field,363
oropharynx,363
movements,363
outpatient,362
residual,362
discomfort,362
chills,362
strips,362
bypass,361
complex,360
instructions,360
systolic,360
put,359
red,359
indication,359
guide,359
order,359
trocar,358
structures,358
inspected,358
close,357
anemia,356
glucose,354
toe,354
hematoma,354
told,353
referred,353
utilized,352
ventricle,352
them,352
problem,352
obvious,351
excision,351
esophagus,350
easily,350
aspiration,347
thought,347
membranes,346
bipolar,346
positioned,345
appearance,345
teeth,345
limited,345
flexion,344
focal,344
gentleman,342
benign,342
tobacco,342
probably,341
released,340
hearing,340
layers,340
near,340
rectus,340
finger,339
anteriorly,338
bit,337
six,337
segment,337
please,337
anastomosis,337
ulnar,337
died,336
underlying,336
away,336
copiously,336
dilated,335
chart,335
extubated,335
extension,334
device,334
baby,333
circumflex,333
suction,331
healthy,331
pleural,331
fusion,331
node,330
parents,329
remained,329
episodes,328
increase,328
recommendations,327
apparently,327
epidural,327
copious,326
show,325
mental,324
somewhat,323
straight,323
cannula,322
check,322
superficial,321
trachea,321
another,321
reapproximated,321
axis,321
tongue,321
resected,321
poor,320
children,320
material,319
tubes,319
adenopathy,318
fifth,318
mentioned,318
cyst,318
plain,318
medially,317
issues,317
worse,316
peritoneum,315
incisions,315
health,315
radial,315
release,315
daughter,315
number,314
flushed,313
apparent,313
stroke,312
wife,312
center,312
double,312
smoking,311
osteotomy,311
wrist,311
improvement,310
headache,310
tone,310
clock,310
biopsies,310
ring,309
arteries,308
scar,307
suctioned,307
diffuse,307
fluids,307
csf,307
arthritis,307
resolved,306
forceps,306
either,305
think,305
sites,305
cystic,305
diameter,304
betadine,304
perform,303
septum,303
intravenous,303
protein,303
call,303
extending,302
clubbing,302
introduced,302
colonoscopy,302
term,302
rash,302
lead,301
alternatives,301
capsular,300
tract,300
completion,300
clamped,300
delivered,299
axillary,299
activities,299
presentation,298
movement,298
occasional,298
duct,298
levels,297
radiation,297
rule,295
lid,295
cells,295
routine,294
posteriorly,294
echocardiogram,294
iliac,293
married,293
coumadin,293
sign,293
transected,292
junction,292
component,291
cartilage,290
bun,290
appreciated,290
moist,290
hematocrit,288
workup,288
atraumatic,288
chromic,288
shunt,288
said,288
abuse,288
exposure,287
exposed,287
abscess,287
breathing,287
extensive,286
inch,286
memory,286
staples,286
gauge,286
calcium,285
information,285
difficult,285
rays,285
husband,285
intervention,284
response,284
onset,283
part,283
cbc,283
culture,282
edges,282
subjective,281
eight,281
saturation,281
least,281
state,281
approximated,281
actually,281
trial,280
pedicle,280
drill,280
floor,280
immediately,280
needs,279
details,279
murmurs,279
drains,278
flexor,278
imaging,278
instructed,278
fluoroscopy,278
episode,278
height,277
ears,277
tooth,277
inspection,277
reflux,276
inferiorly,276
involving,276
obstructive,276
feel,276
insulin,276
amounts,275
frontal,275
seems,275
allowed,275
lens,274
measuring,274
superiorly,274
myocardial,274
reflected,273
towards,273
view,273
longus,272
great,272
continuous,272
anxiety,271
scheduled,271
dura,270
sutured,270
woman,270
feeling,269
cultures,269
elbow,269
specimens,269
ejection,269
appropriately,268
fetal,268
knife,268
feels,268
stool,267
withdrawn,267
provided,267
examined,266
school,265
pacemaker,265
oblique,265
replacement,264
lumen,264
self,264
monitoring,264
allow,264
angiogram,263
extensor,263
checked,263
inflated,263
contact,263
fall,262
trauma,262
hemorrhage,261
access,261
ureteral,261
foreign,261
required,261
thigh,260
afebrile,260
fevers,260
seizure,259
warm,258
tied,258
versus,258
unknown,257
accident,257
sodium,257
thoracic,256
avoid,256
continues,256
overall,255
bruits,255
symmetric,254
vitamin,254
airway,254
mildly,253
period,253
gave,253
measures,252
mellitus,252
nourished,252
lad,252
prescription,252
infiltrated,252
gastric,251
awake,251
separate,251
simple,251
mitral,251
worsening,251
early,250
caucasian,250
allergic,249
angiography,249
infant,249
hypertrophy,249
notes,249
obtain,249
flat,248
joints,248
views,248
plane,248
sharply,248
awakened,248
legs,248
measured,248
included,248
gastrointestinal,248
decided,247
reduced,247
angle,247
rectum,247
appendix,246
fraction,246
overlying,246
phalanx,246
mcg,246
sure,245
longitudinal,245
palate,245
affect,244
opening,244
takes,243
xylocaine,243
slight,243
stay,243
evaluate,243
palpated,242
nondistended,242
seizures,242
margin,242
food,241
speculum,241
held,241
veins,241
fluoroscopic,241
fairly,240
penis,240
tylenol,240
fact,240
result,240
metzenbaum,239
date,239
mood,239
pole,238
rashes,238
service,238
exercise,238
advised,238
answered,238
getting,237
discussion,237
nature,237
versed,237
laceration,237
possibility,237
increasing,236
implant,236
took,235
fatigue,235
pack,235
undergo,235
extraocular,235
many,235
whether,234
itself,234
available,234
volume,234
discectomy,234
hematuria,233
became,233
illicit,233
instrument,233
major,232
proceeded,232
patella,232
asthma,232
peritoneal,232
progressive,232
pending,231
comes,231
noticed,231
inches,231
intubated,231
bag,230
disposition,230
thin,230
walking,230
intermittent,230
monitored,229
rotator,229
support,228
ligaments,228
persistent,228
touch,228
foramen,227
cataract,227
marginal,227
possibly,226
working,225
radiculopathy,225
apnea,225
chemotherapy,225
appointment,225
options,225
future,225
understood,224
surrounding,224
lab,224
walk,223
your,223
dyspnea,223
